PATH	SYMBOL	EXECUTION_SURFACE	EXPLICIT_OPT_IN	PROVENANCE_PRESENT	PROVENANCE_VALIDATED	RUNTIME_REACHABLE	AUTHORITY_EFFECT	ACTION
src/ops/bounded_master_v2_testnet_completion_path_wiring_v0.py	allow_test_scope_event_injection	offline_replay	DEFAULT_FALSE_NO_HARDCODE_TRUE	yes	validated_at_boundary	no	input_only_via_transition_state	HARDENED_DEFAULT_FALSE_PLUS_PROVENANCE_GATE
src/ops/offline_master_v2_replay_six_node_validation_graph_binding_v0.py	allow_test_scope_event_injection	offline_src	EXPLICIT_TRUE	no	callsite_dependent	no	input_only_via_transition_state	KEEP_EXPLICIT_OPT_IN
src/trading/master_v2/integrated_vs_scenario_replay_full_system_parity_harness_v0.py	allow_test_scope_event_injection	offline_src	EXPLICIT_TRUE	no	callsite_dependent	no	input_only_via_transition_state	KEEP_EXPLICIT_OPT_IN
src/trading/master_v2/offline_double_play_scenario_replay_v0.py	allow_test_scope_event_injection	offline_src	EXPLICIT_TRUE	yes	validated_at_boundary	no	input_only_via_transition_state	KEEP_EXPLICIT_OPT_IN
tests/governance/test_scenario_scope_event_injection_fail_closed_guard_v1.py	allow_test_scope_event_injection	offline_test	EXPLICIT_TRUE	yes	validated_at_boundary	no	input_only_via_transition_state	KEEP_EXPLICIT_OPT_IN
tests/ops/test_bounded_master_v2_testnet_completion_path_wiring_contract_v0.py	allow_test_scope_event_injection	offline_test	EXPLICIT_TRUE	yes	callsite_dependent	no	input_only_via_transition_state	KEEP_EXPLICIT_OPT_IN
tests/ops/test_inv016_durable_completion_binding_contract_v0.py	allow_test_scope_event_injection	offline_test	EXPLICIT_TRUE	no	callsite_dependent	no	input_only_via_transition_state	KEEP_EXPLICIT_OPT_IN
tests/ops/test_offline_master_v2_double_play_scenario_replay_completion_binding_contract_v0.py	allow_test_scope_event_injection	offline_test	EXPLICIT_TRUE	yes	validated_at_boundary	no	input_only_via_transition_state	KEEP_EXPLICIT_OPT_IN
tests/trading/master_v2/test_bull_bear_state_switch_scenario_replay_binding_parity_rewire_contract_v0.py	allow_test_scope_event_injection	offline_test	EXPLICIT_TRUE	no	callsite_dependent	no	input_only_via_transition_state	KEEP_EXPLICIT_OPT_IN
tests/trading/master_v2/test_canonical_order_intent_offline_replay_binding_parity_rewire_contract_v0.py	allow_test_scope_event_injection	offline_test	EXPLICIT_TRUE	no	callsite_dependent	no	input_only_via_transition_state	KEEP_EXPLICIT_OPT_IN
tests/trading/master_v2/test_capital_risk_sizing_offline_replay_binding_parity_rewire_contract_v0.py	allow_test_scope_event_injection	offline_test	EXPLICIT_TRUE	no	callsite_dependent	no	input_only_via_transition_state	KEEP_EXPLICIT_OPT_IN
tests/trading/master_v2/test_double_play_composition_scenario_matrix_parity_contract_v0.py	allow_test_scope_event_injection	offline_test	EXPLICIT_TRUE	no	callsite_dependent	no	input_only_via_transition_state	KEEP_EXPLICIT_OPT_IN
tests/trading/master_v2/test_double_play_sole_authority_quarantine_v1.py	allow_test_scope_event_injection	offline_test	EXPLICIT_FALSE	yes	validated_at_boundary	no	input_only_via_transition_state	DOCUMENTED
tests/trading/master_v2/test_flat_before_opposite_side_scenario_replay_binding_parity_rewire_contract_v0.py	allow_test_scope_event_injection	offline_test	EXPLICIT_TRUE	no	callsite_dependent	no	input_only_via_transition_state	KEEP_EXPLICIT_OPT_IN
tests/trading/master_v2/test_integrated_vs_scenario_replay_full_system_parity_contract_suite_v0.py	allow_test_scope_event_injection	offline_test	EXPLICIT_TRUE	no	callsite_dependent	no	input_only_via_transition_state	KEEP_EXPLICIT_OPT_IN
tests/trading/master_v2/test_killswitch_boundary_offline_replay_binding_parity_rewire_contract_v0.py	allow_test_scope_event_injection	offline_test	EXPLICIT_TRUE	no	callsite_dependent	no	input_only_via_transition_state	KEEP_EXPLICIT_OPT_IN
tests/trading/master_v2/test_offline_master_v2_double_play_scenario_replay_binding_contract_v0.py	allow_test_scope_event_injection	offline_test	EXPLICIT_TRUE	yes	validated_at_boundary	no	input_only_via_transition_state	KEEP_EXPLICIT_OPT_IN
tests/trading/master_v2/test_reconciliation_unknown_outcome_offline_replay_binding_parity_rewire_contract_v0.py	allow_test_scope_event_injection	offline_test	EXPLICIT_TRUE	no	callsite_dependent	no	input_only_via_transition_state	KEEP_EXPLICIT_OPT_IN
tests/trading/master_v2/test_reversal_preparation_scenario_replay_binding_parity_rewire_contract_v0.py	allow_test_scope_event_injection	offline_test	EXPLICIT_TRUE	no	callsite_dependent	no	input_only_via_transition_state	KEEP_EXPLICIT_OPT_IN
tests/trading/master_v2/test_runtime_backtest_parity_and_legacy_boundary_closeout_v1.py	allow_test_scope_event_injection	offline_test	EXPLICIT_TRUE	no	callsite_dependent	no	input_only_via_transition_state	KEEP_EXPLICIT_OPT_IN
tests/trading/master_v2/test_safety_kernel_offline_replay_binding_parity_rewire_contract_v0.py	allow_test_scope_event_injection	offline_test	EXPLICIT_TRUE	no	callsite_dependent	no	input_only_via_transition_state	KEEP_EXPLICIT_OPT_IN
tests/trading/master_v2/test_scenario_replay_double_play_entry_exit_policy_binding_parity_rewire_contract_v0.py	allow_test_scope_event_injection	offline_test	EXPLICIT_TRUE	no	callsite_dependent	no	input_only_via_transition_state	KEEP_EXPLICIT_OPT_IN
tests/trading/master_v2/test_scope_event_generator_scenario_replay_binding_parity_rewire_contract_v0.py	allow_test_scope_event_injection	offline_test	EXPLICIT_TRUE	yes	callsite_dependent	no	input_only_via_transition_state	KEEP_EXPLICIT_OPT_IN
tests/trading/master_v2/test_survival_suitability_scenario_replay_binding_parity_rewire_contract_v0.py	allow_test_scope_event_injection	offline_test	EXPLICIT_TRUE	no	callsite_dependent	no	input_only_via_transition_state	KEEP_EXPLICIT_OPT_IN
tests/trading/master_v2/test_testnet_scenario_injection_fail_closed_tick_provenance_v1.py	allow_test_scope_event_injection	offline_test	EXPLICIT_TRUE	yes	validated_at_boundary	no	input_only_via_transition_state	KEEP_EXPLICIT_OPT_IN
